units_sold_360,units_sold,partType,vehicleMaxQty,isDevelopment,make,category,subCat,year,TotalVIO,HasPartsAuthorityPurchased,HasWorldPacPurchased,HasSSFPurchased,sale_year_rank
11,10,Engine Oil Cooler,1,False,Volkswagen,Engine,Engine Mechanical,2020,93888,False,True,False,0
861,1087,Suspension Strut Spacer,2,True,Volvo,Suspension,Mountings & Bushings,2019,797128,True,True,True,7
184,298,Exhaust Bracket Kit,1,True,Volvo,Exhaust,Mountings & Bushings,2020,244908,True,True,False,8
92,77,Engine Crankshaft Position Sensor,1,False,Ford,Engine,Sensors & Senders,2019,117978,True,False,False,4
79,84,Engine Camshaft Position Sensor,1,False,BMW,Engine,Sensors & Senders,2020,30125,True,True,False,5
65,44,HVAC Heater Hose,1,True,Volvo,Cooling,"Hoses, Pipes, Tubes",2019,28299,True,True,True,11
202,309,Engine Coolant Reservoir Cap,1,False,Cadillac,Cooling,Caps & Boots,2021,18601405,True,True,False,3
137,67,Drive Belt Tensioner,1,False,GMC,Engine,Pulleys & Tensioners,2020,6812583,True,False,False,2
73,53,Electric Fuel Pump,1,False,Porsche,Fuel,Fuel Supply,2017,6080,True,True,True,0
171,123,Trunk Lid Lift Support,2,False,BMW,Body,Lift Struts,2019,25591,True,True,False,2
44,45,HVAC Blower Motor Resistor,1,False,Audi,Climate Control,Motors & Servos,2020,17633,False,True,False,7
86,107,Suspension Stabilizer Bar Bushing,2,False,BMW,Suspension,Mountings & Bushings,2017,154866,False,False,False,9
93,78,Engine Cooling Fan Clutch,1,False,BMW,Cooling,Clutches,2020,44677,True,True,False,13
235,265,Distributor Ignition Pickup Connector,1,True,Mercedes-Benz,Electrical,Engine Electrical,2018,19732,True,True,True,1
15,37,Rack and Pinion Mount Bushing,1,True,Jaguar,Steering,Mountings & Bushings,2016,26898,False,True,False,4
120,101,Door Stop,4,False,Mercedes-Benz,Body,Doors & Windows,2021,125224,False,True,False,22
4111,1046,Headlight Bulb,2,False,Land Rover,Electrical,Headlamps,2018,4073409,True,True,False,0
179,837,Engine Coolant Level Sensor,1,False,BMW,Electrical,Sensors & Senders,2016,201726,True,True,False,8
31,61,Power Steering Hose,1,True,Jaguar,Steering,"Hoses, Pipes, Tubes",2018,58970,True,True,True,4
65,75,Engine Crankcase Breather Hose,1,True,Mini,Fuel,Emissions,2020,86936,True,False,True,0
71,101,Drive Belt Idler Pulley,1,False,Mercedes-Benz,Engine,Pulleys & Tensioners,2021,5511,False,True,False,14
33,54,Fog Light,1,False,Volvo,Electrical,Fog Lamps,2019,53529,True,True,False,10
311,230,Spark Plug Tube Seal,4,True,Jaguar,Engine,Gaskets & Seals,2017,17074,True,True,False,2
157,128,Suspension Stabilizer Bar Link,2,False,Saab,Suspension,Stabilizers,2020,126093,True,False,False,11
415,318,A/C Expansion Valve,1,False,Jaguar,Climate Control,Expansion Valve,2019,122574,True,True,False,14
35,28,Quarter Glass Seal,1,True,Porsche,Body,Gaskets & Seals,2018,13330,False,True,False,0
156,85,Steering Tie Rod End,1,False,Mercedes-Benz,Steering,Steering,2020,275175,True,False,False,5
155,346,Engine Coolant Reservoir,1,False,BMW,Cooling,Expansion Tanks & Parts,2016,78802,True,True,False,10
316,386,Door Mirror Switch,1,False,Volkswagen,Electrical,"Relays, Switches, Solenoids",2017,1275699,True,True,False,2
151,273,Headlight Switch,1,False,BMW,Electrical,"Relays, Switches, Solenoids",2018,143130,True,True,False,5
333,295,Trunk Lid Lift Support,2,True,Porsche,Body,Lift Struts,2021,58581,True,False,False,11
99,166,Suspension Strut Mount,2,False,Saab,Suspension,Mountings & Bushings,2016,18965,True,True,True,4
2335,2010,Engine Coolant Reservoir Cap,1,False,Ford,Cooling,Caps & Boots,2018,388446,True,True,True,4
47,71,A/C Hose Assembly,1,False,Jaguar,Climate Control,"Hoses, Pipes, Tubes",2018,14124,True,True,False,12
1100,478,Ignition Switch,1,False,Audi,Electrical,"Relays, Switches, Solenoids",2016,133876,True,False,True,6
