units_sold,firstSold,vehicleMaxQty,isDevelopment,make,category,year,TotalVIO,SaleYearRank,HasPartsAuthorityPurchased,HasWorldPacPurchased,HasSSFPurchased
20,2019-09-27 19:32:54.943,1,False,BMW,Engine,2019,343360,1,True,False,False
20,2019-09-27 19:32:54.943,1,False,Mini,Engine,2019,343360,1,True,False,False
36,2016-01-07 19:46:22.000,1,False,Audi,Suspension,2016,4869,1,True,False,False
36,2016-01-07 19:46:22.000,1,False,Volkswagen,Suspension,2016,4869,1,True,False,False
18,2010-05-20 19:00:00.000,1,False,Mercedes-Benz,Electrical,2016,39200,7,True,True,True
4,2001-02-14 20:00:00.000,1,False,Jaguar,Climate Control,2016,2902,16,True,True,False
524,2006-04-21 07:00:00.000,1,True,Porsche,Fuel,2016,40228,11,True,True,True
236,2007-10-02 07:00:00.000,1,False,BMW,Cooling,2016,99630,10,False,True,False
236,2007-10-02 07:00:00.000,1,False,Land Rover,Cooling,2016,99630,10,False,True,False
34,2008-06-04 07:00:00.000,2,False,Volvo,Suspension,2016,43646,9,True,False,False
73,2006-07-24 19:00:00.000,1,False,Mercedes-Benz,Transmission,2016,26075,11,True,True,True
140,2019-04-01 20:14:10.880,1,True,BMW,Body,2019,207772,1,True,True,True
43,2012-09-05 19:00:00.000,1,False,Jaguar,Steering,2016,26898,5,True,False,False
111,2012-11-09 20:00:00.000,1,False,Porsche,Fuel,2016,6530,5,True,False,True
605,2018-04-04 23:14:58.000,1,False,Ford,Engine,2018,1992948,1,True,True,False
140,2008-12-03 08:00:00.000,1,False,Saab,Engine,2016,28571,9,True,True,False
385,2006-09-27 07:00:00.000,1,False,Chrysler,Transmission,2016,1603860,11,True,True,False
385,2006-09-27 07:00:00.000,1,False,Dodge,Transmission,2016,1603860,11,True,True,False
385,2006-09-27 07:00:00.000,1,False,Freightliner,Transmission,2016,1603860,11,True,True,False
385,2006-09-27 07:00:00.000,1,False,Jeep,Transmission,2016,1603860,11,True,True,False
385,2006-09-27 07:00:00.000,1,False,Mercedes-Benz,Transmission,2016,1603860,11,True,True,False
593,2012-05-21 07:00:00.000,1,False,Audi,Body,2016,4853427,5,True,True,False
593,2012-05-21 07:00:00.000,1,False,BMW,Body,2016,4853427,5,True,True,False
593,2012-05-21 07:00:00.000,1,False,Buick,Body,2016,4853427,5,True,True,False
593,2012-05-21 07:00:00.000,1,False,Cadillac,Body,2016,4853427,5,True,True,False
593,2012-05-21 07:00:00.000,1,False,Volkswagen,Body,2016,4853427,5,True,True,False
15,2008-05-28 19:00:00.000,1,False,MG,Brakes,2016,10449,9,True,False,False
119,2006-04-12 19:00:00.000,1,False,Volvo,Fuel,2016,37996,11,True,True,True
288,2012-08-08 19:00:00.000,1,False,BMW,Body,2016,173492,5,True,True,True
31252,2012-02-06 08:00:00.000,22,False,BMW,Engine,2016,1203139,5,True,True,False
31252,2012-02-06 08:00:00.000,22,False,Land Rover,Engine,2016,1203139,5,True,True,False
188,2016-04-13 00:07:05.000,1,False,BMW,Fuel,2016,19816,1,True,True,True
148,2009-04-10 19:00:00.000,1,False,Saab,Electrical,2016,18938,8,True,True,True
2547,2015-01-12 18:40:48.000,4,False,Mercedes-Benz,Brakes,2016,651904,2,True,True,False
66,2004-09-09 07:00:00.000,1,False,Mercedes-Benz,Suspension,2016,51425,13,True,True,False
47,2020-09-10 15:45:17.713,2,True,Land Rover,Body,2020,180577,1,True,True,False
976,2006-08-14 07:00:00.000,1,False,BMW,Electrical,2016,1419124,11,True,True,False
6,2005-04-28 19:00:00.000,1,False,Mercedes-Benz,Accessories,2016,42419,12,False,False,False
20,2021-01-21 00:41:51.463,1,False,Nissan,Engine,2021,1118274,1,True,False,False
23,2013-08-13 01:07:22.677,1,False,MG,Body,2016,2071,4,False,False,False
33,2019-05-21 01:30:52.757,1,True,Porsche,Fuel,2019,2073,1,True,False,False
502,2018-07-23 21:22:07.000,1,True,BMW,Fuel,2018,45994,1,True,True,True
111,2011-08-12 07:00:00.000,2,False,Volkswagen,Suspension,2016,35250,6,False,False,False
168,2006-12-11 20:00:00.000,1,False,Volvo,Cooling,2016,284657,11,True,True,True
86,2018-11-30 00:32:09.500,2,False,Acura,Electrical,2018,4073409,1,True,True,False
86,2018-11-30 00:32:09.500,2,False,Audi,Electrical,2018,4073409,1,True,True,False
86,2018-11-30 00:32:09.500,2,False,BMW,Electrical,2018,4073409,1,True,True,False
86,2018-11-30 00:32:09.500,2,False,Bugatti,Electrical,2018,4073409,1,True,True,False
86,2018-11-30 00:32:09.500,2,False,Cadillac,Electrical,2018,4073409,1,True,True,False
86,2018-11-30 00:32:09.500,2,False,Chrysler,Electrical,2018,4073409,1,True,True,False
86,2018-11-30 00:32:09.500,2,False,Ford,Electrical,2018,4073409,1,True,True,False
86,2018-11-30 00:32:09.500,2,False,Honda,Electrical,2018,4073409,1,True,True,False
86,2018-11-30 00:32:09.500,2,False,Infiniti,Electrical,2018,4073409,1,True,True,False
86,2018-11-30 00:32:09.500,2,False,Jaguar,Electrical,2018,4073409,1,True,True,False
86,2018-11-30 00:32:09.500,2,False,Lamborghini,Electrical,2018,4073409,1,True,True,False
86,2018-11-30 00:32:09.500,2,False,Land Rover,Electrical,2018,4073409,1,True,True,False
86,2018-11-30 00:32:09.500,2,False,Lexus,Electrical,2018,4073409,1,True,True,False
86,2018-11-30 00:32:09.500,2,False,Maybach,Electrical,2018,4073409,1,True,True,False
86,2018-11-30 00:32:09.500,2,False,Mazda,Electrical,2018,4073409,1,True,True,False
86,2018-11-30 00:32:09.500,2,False,Mercedes-Benz,Electrical,2018,4073409,1,True,True,False
86,2018-11-30 00:32:09.500,2,False,Mini,Electrical,2018,4073409,1,True,True,False
86,2018-11-30 00:32:09.500,2,False,Mitsubishi,Electrical,2018,4073409,1,True,True,False
86,2018-11-30 00:32:09.500,2,False,Nissan,Electrical,2018,4073409,1,True,True,False
86,2018-11-30 00:32:09.500,2,False,Porsche,Electrical,2018,4073409,1,True,True,False
86,2018-11-30 00:32:09.500,2,False,Rolls Royce,Electrical,2018,4073409,1,True,True,False
86,2018-11-30 00:32:09.500,2,False,Saab,Electrical,2018,4073409,1,True,True,False
86,2018-11-30 00:32:09.500,2,False,Seat,Electrical,2018,4073409,1,True,True,False
86,2018-11-30 00:32:09.500,2,False,Subaru,Electrical,2018,4073409,1,True,True,False
86,2018-11-30 00:32:09.500,2,False,Toyota,Electrical,2018,4073409,1,True,True,False
86,2018-11-30 00:32:09.500,2,False,Volkswagen,Electrical,2018,4073409,1,True,True,False
86,2018-11-30 00:32:09.500,2,False,Volvo,Electrical,2018,4073409,1,True,True,False
15,2019-10-28 17:27:27.917,1,False,BMW,Brakes,2019,12672,1,True,False,False
24,2016-09-19 15:15:53.000,1,False,Porsche,Brakes,2016,15755,1,True,False,False
55,1999-01-13 20:00:00.000,1,False,Mercedes-Benz,Body,2016,2692,18,False,True,False
120,2014-05-30 22:07:14.517,1,False,Mercedes-Benz,Climate Control,2016,18293,3,False,True,False
18,2017-04-29 00:15:20.000,1,False,Audi,Suspension,2017,142035,1,True,True,False
35,2008-06-05 19:00:00.000,1,False,Porsche,Cooling,2016,31129,9,True,False,False
228,1999-06-16 19:00:00.000,1,False,Volvo,Cooling,2016,49182,18,True,False,True
36,2020-05-21 23:28:18.210,2,True,BMW,Suspension,2020,176782,1,False,False,False
896,2011-03-22 07:00:00.000,1,False,BMW,Body,2016,154866,6,True,True,False
64,2015-11-26 00:56:03.000,1,False,Mini,Cooling,2016,79968,2,True,True,True
363,2010-08-27 07:00:00.000,1,False,Audi,Suspension,2016,299355,7,False,True,False
363,2010-08-27 07:00:00.000,1,False,Volkswagen,Suspension,2016,299355,7,False,True,False
25,2020-10-05 22:46:12.360,1,False,Mini,Cooling,2020,80724,1,True,False,True
40,2018-06-29 23:32:19.150,1,False,Audi,Climate Control,2018,54366,1,True,True,True
40,2018-06-29 23:32:19.150,1,False,Volkswagen,Climate Control,2018,54366,1,True,True,True
1538,2003-07-18 07:00:00.000,3,False,Porsche,Electrical,2016,23400,14,True,True,True
5,2015-04-28 21:19:46.717,2,False,Audi,Suspension,2016,4356,2,False,False,False
243,1999-08-20 19:00:00.000,1,False,BMW,Climate Control,2016,25371,18,True,True,False
2340,2019-01-19 00:21:02.000,1,True,BMW,Transmission,2019,3005641,1,True,True,False
38,2016-07-22 17:50:56.000,1,False,Porsche,Fuel,2016,2526,1,True,False,False
77,2014-03-07 23:55:08.580,1,False,BMW,Fuel,2016,752320,3,False,True,False
5,2020-11-19 17:22:46.573,1,False,Chevrolet,Engine,2020,557473,1,True,False,False
5,2020-11-19 17:22:46.573,1,False,GMC,Engine,2020,557473,1,True,False,False
91,2017-09-08 22:42:38.000,6,True,Porsche,Body,2017,9583,1,True,False,True
4344,2006-11-08 08:00:00.000,1,False,BMW,Cooling,2016,147936,11,True,True,True
633,1999-02-10 08:00:00.000,8,False,Jaguar,Body,2016,9423,18,False,False,False
20,2020-06-02 21:43:21.390,1,False,Audi,Body,2020,21163,1,True,False,False
