units_sold,firstSold,vehicleMaxQty,isDevelopment,make,category,year,TotalVIO,SaleYearRank,HasPartsAuthorityPurchased,HasWorldPacPurchased,HasSSFPurchased
5211,2019-04-05 23:31:55.597,1,True,Chevrolet,Engine,2020,751274,2,True,True,False
5211,2019-04-05 23:31:55.597,1,True,Pontiac,Engine,2020,751274,2,True,True,False
5211,2019-04-05 23:31:55.597,1,True,Saturn,Engine,2020,751274,2,True,True,False
6792,2019-02-01 01:14:18.000,24,True,Porsche,Engine,2019,51156,1,True,False,False
6738,2018-12-04 00:52:46.610,2,False,Aston Martin,Electrical,2020,7142799,3,True,True,False
6738,2018-12-04 00:52:46.610,2,False,Audi,Electrical,2020,7142799,3,True,True,False
6738,2018-12-04 00:52:46.610,2,False,BMW,Electrical,2020,7142799,3,True,True,False
6738,2018-12-04 00:52:46.610,2,False,Buick,Electrical,2020,7142799,3,True,True,False
6738,2018-12-04 00:52:46.610,2,False,Cadillac,Electrical,2020,7142799,3,True,True,False
6738,2018-12-04 00:52:46.610,2,False,Chevrolet,Electrical,2020,7142799,3,True,True,False
6738,2018-12-04 00:52:46.610,2,False,Chrysler,Electrical,2020,7142799,3,True,True,False
6738,2018-12-04 00:52:46.610,2,False,Dodge,Electrical,2020,7142799,3,True,True,False
6738,2018-12-04 00:52:46.610,2,False,Fisker,Electrical,2020,7142799,3,True,True,False
6738,2018-12-04 00:52:46.610,2,False,Ford,Electrical,2020,7142799,3,True,True,False
6738,2018-12-04 00:52:46.610,2,False,Freightliner,Electrical,2020,7142799,3,True,True,False
6738,2018-12-04 00:52:46.610,2,False,Genesis,Electrical,2020,7142799,3,True,True,False
6738,2018-12-04 00:52:46.610,2,False,GMC,Electrical,2020,7142799,3,True,True,False
6738,2018-12-04 00:52:46.610,2,False,Hyundai,Electrical,2020,7142799,3,True,True,False
6738,2018-12-04 00:52:46.610,2,False,Jaguar,Electrical,2020,7142799,3,True,True,False
6738,2018-12-04 00:52:46.610,2,False,Jeep,Electrical,2020,7142799,3,True,True,False
6738,2018-12-04 00:52:46.610,2,False,Kia,Electrical,2020,7142799,3,True,True,False
