,Sales Year,Make,Category,IsDevelopment,Total VIO,vehicleMaxQty,PartsAuthority,SSF,Worldpac,PartsAuthority Sales count,SSF Sales count,WorldPac Sales count,UnitsSold360 Sales count,Total Units Sold Sales count,SalesYearRank
Sales Year,1.0,0.03,0.02,0.15,0.05,0.01,0.08,0.0,0.01,-0.01,0.01,0.06,0.24,-0.06,0.05
Make,0.03,1.0,0.02,0.11,0.02,0.06,0.07,0.09,0.02,-0.05,0.09,-0.01,0.02,0.02,-0.14
Category,0.02,0.02,1.0,0.07,0.05,0.24,0.08,-0.05,0.1,-0.06,-0.04,-0.12,0.01,0.02,-0.09
IsDevelopment,0.15,0.11,0.07,1.0,0.15,0.09,0.12,0.17,-0.08,-0.12,0.13,0.04,0.09,-0.03,-0.3
Total VIO,0.05,0.02,0.05,0.15,1.0,0.0,0.03,0.05,-0.04,-0.01,0.03,-0.01,0.04,0.04,-0.18
vehicleMaxQty,0.01,0.06,0.24,0.09,0.0,1.0,0.06,-0.04,0.04,-0.02,-0.02,-0.02,0.01,0.1,-0.09
PartsAuthority,0.08,0.07,0.08,0.12,0.03,0.06,1.0,-0.21,0.2,-0.61,-0.2,-0.27,0.03,-0.25,-0.09
SSF,0.0,0.09,-0.05,0.17,0.05,-0.04,-0.21,1.0,-0.26,0.16,0.77,0.25,0.02,0.17,-0.08
Worldpac,0.01,0.02,0.1,-0.08,-0.04,0.04,0.2,-0.26,1.0,-0.13,-0.23,-0.44,-0.01,-0.14,0.05
PartsAuthority Sales count,-0.01,-0.05,-0.06,-0.12,-0.01,-0.02,-0.61,0.16,-0.13,1.0,0.23,0.29,-0.01,0.32,0.09
SSF Sales count,0.01,0.09,-0.04,0.13,0.03,-0.02,-0.2,0.77,-0.23,0.23,1.0,0.31,0.01,0.24,-0.07
WorldPac Sales count,0.06,-0.01,-0.12,0.04,-0.01,-0.02,-0.27,0.25,-0.44,0.29,0.31,1.0,0.06,0.26,0.03
UnitsSold360 Sales count,0.24,0.02,0.01,0.09,0.04,0.01,0.03,0.02,-0.01,-0.01,0.01,0.06,1.0,-0.0,0.05
Total Units Sold Sales count,-0.06,0.02,0.02,-0.03,0.04,0.1,-0.25,0.17,-0.14,0.32,0.24,0.26,-0.0,1.0,-0.02
SalesYearRank,0.05,-0.14,-0.09,-0.3,-0.18,-0.09,-0.09,-0.08,0.05,0.09,-0.07,0.03,0.05,-0.02,1.0
