,Sales Year,Make,Category,IsDevelopment,Total VIO,vehicleMaxQty,PartsAuthority,SSF,Worldpac,PartsAuthority Sales count,SSF Sales count,WorldPac Sales count,UnitsSold360 Sales count,Total Units Sold Sales count,SalesYearRank
Sales Year,1.0,0.05,0.02,0.17,0.07,0.01,0.09,0.0,0.01,0.01,-0.0,-0.05,0.22,-0.07,0.08
Make,0.05,1.0,0.02,0.11,0.03,0.05,0.15,0.06,0.05,-0.06,0.07,-0.04,0.03,0.01,-0.15
Category,0.02,0.02,1.0,0.07,0.04,0.1,0.11,-0.07,0.12,-0.05,-0.02,-0.09,0.0,0.01,-0.11
IsDevelopment,0.17,0.11,0.07,1.0,0.16,0.07,0.12,0.17,-0.08,-0.08,0.08,0.03,0.08,-0.03,-0.28
Total VIO,0.07,0.03,0.04,0.16,1.0,0.04,0.03,0.04,-0.03,0.05,0.02,0.03,0.1,0.1,-0.22
vehicleMaxQty,0.01,0.05,0.1,0.07,0.04,1.0,0.01,0.0,-0.01,0.07,0.11,0.08,0.07,0.2,-0.08
PartsAuthority,0.09,0.15,0.11,0.12,0.03,0.01,1.0,-0.21,0.2,-0.4,-0.18,-0.25,-0.05,-0.28,-0.06
SSF,0.0,0.06,-0.07,0.17,0.04,0.0,-0.21,1.0,-0.26,0.16,0.57,0.24,0.08,0.22,-0.09
Worldpac,0.01,0.05,0.12,-0.08,-0.03,-0.01,0.2,-0.26,1.0,-0.12,-0.19,-0.28,-0.07,-0.17,0.05
PartsAuthority Sales count,0.01,-0.06,-0.05,-0.08,0.05,0.07,-0.4,0.16,-0.12,1.0,0.43,0.45,0.15,0.61,-0.01
SSF Sales count,-0.0,0.07,-0.02,0.08,0.02,0.11,-0.18,0.57,-0.19,0.43,1.0,0.43,0.12,0.49,-0.08
WorldPac Sales count,-0.05,-0.04,-0.09,0.03,0.03,0.08,-0.25,0.24,-0.28,0.45,0.43,1.0,0.15,0.56,-0.05
UnitsSold360 Sales count,0.22,0.03,0.0,0.08,0.1,0.07,-0.05,0.08,-0.07,0.15,0.12,0.15,1.0,0.2,0.0
Total Units Sold Sales count,-0.07,0.01,0.01,-0.03,0.1,0.2,-0.28,0.22,-0.17,0.61,0.49,0.56,0.2,1.0,-0.07
SalesYearRank,0.08,-0.15,-0.11,-0.28,-0.22,-0.08,-0.06,-0.09,0.05,-0.01,-0.08,-0.05,0.0,-0.07,1.0
