VendorPartNo,Make,vehicleMaxQty,Category,IsDevelopment,Worldpac,PartsAuthority,SSF,WorldPac(2016),PartsAuthority(2016),SSF(2016),Total Units Sold(2016),WorldPac(2017),PartsAuthority(2017),SSF(2017),Total Units Sold(2017),WorldPac(2018),PartsAuthority(2018),SSF(2018),Total Units Sold(2018),WorldPac(2019),PartsAuthority(2019),SSF(2019),Total Units Sold(2019),WorldPac(2020),PartsAuthority(2020),SSF(2020),Total Units Sold(2020),UnitsSold360,VIO_US,VIO_CANADA,FirstSoldDate
B-8373,BMW,1,Suspension,Yes,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8346,493,09/30/20
DZHLS0815 SENSOR,Volvo,1,Electrical,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,509772,49728,09/28/20
EG90378,Jeep,1,Engine,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1047922,0,09/25/20
180504,Mercury,2,Engine,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,402274,0,09/25/20
JJEP-A78-9,Audi,1,Fuel,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,42642,3728,09/25/20
ZL-AV1088,Volkswagen,1,Engine,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,13980,1501,09/25/20
K011920,Porsche,1,Body,Yes,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,29921,3151,09/24/20
K011921,Porsche,1,Body,Yes,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,29921,3151,09/24/20
JJEP-24,Porsche,1,Fuel,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,18635,1933,09/24/20
SF-005D-4,Volkswagen,1,Body,,No,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,715184,148621,09/24/20
SF-039G-1,Volvo,1,Body,,No,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,8,302126,23802,09/24/20
SF-022F-2,Volvo,1,Body,,No,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,382926,41188,09/24/20
SF-022E-1,Volvo,1,Body,,No,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,407681,41169,09/24/20
180282,Toyota,1,Engine,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2595787,0,09/24/20
