VendorPartNo,Sales Year,Make,Category,IsDevelopment,Total VIO,FirstSoldDate,vehicleMaxQty,PartsAuthority,SSF,Worldpac,PartsAuthority Sales count,SSF Sales count,WorldPac Sales count,UnitsSold360 Sales count,Total Units Sold Sales count,SalesYearRank
000 500 0185,2016,Mercedes-Benz,Cooling,0,1798416,2016-10-07,1,1,0,1,79.0,0.0,0.0,0.0,109.0,1
000 500 0185,2017,Mercedes-Benz,Cooling,0,1798416,2016-10-07,1,1,0,1,33.0,0.0,0.0,0.0,225.0,2
000 500 0185,2018,Mercedes-Benz,Cooling,0,1798416,2016-10-07,1,1,0,1,49.0,0.0,0.0,0.0,371.0,3
000 500 0185,2019,Mercedes-Benz,Cooling,0,1798416,2016-10-07,1,1,0,1,197.0,0.0,0.0,684.0,521.0,4
000 500 0185,2020,Mercedes-Benz,Cooling,0,1798416,2016-10-07,1,1,0,1,174.0,0.0,2.0,0.0,478.0,5
000 500 8593,2016,Mercedes-Benz,Cooling,0,73430,2012-03-28,1,1,0,1,0.0,0.0,0.0,0.0,80.0,5
000 500 8593,2017,Mercedes-Benz,Cooling,0,73430,2012-03-28,1,1,0,1,0.0,0.0,0.0,0.0,49.0,6
000 500 8593,2018,Mercedes-Benz,Cooling,0,73430,2012-03-28,1,1,0,1,0.0,0.0,0.0,0.0,64.0,7
000 500 8593,2019,Mercedes-Benz,Cooling,0,73430,2012-03-28,1,1,0,1,0.0,0.0,0.0,50.0,37.0,8
000 500 8593,2020,Mercedes-Benz,Cooling,0,73430,2012-03-28,1,1,0,1,17.0,0.0,4.0,0.0,57.0,9
000 545 6204,2016,Mercedes-Benz,Electrical,0,222771,2009-06-12,1,1,0,1,152.0,0.0,322.0,0.0,790.0,8
000 545 6204,2017,Mercedes-Benz,Electrical,0,222771,2009-06-12,1,1,0,1,180.0,0.0,385.0,0.0,906.0,9
000 545 6204,2018,Mercedes-Benz,Electrical,0,222771,2009-06-12,1,1,0,1,170.0,0.0,422.0,0.0,881.0,10
000 545 6204,2019,Mercedes-Benz,Electrical,0,222771,2009-06-12,1,1,0,1,290.0,0.0,304.0,773.0,985.0,11
000 545 6204,2020,Mercedes-Benz,Electrical,0,222771,2009-06-12,1,1,0,1,157.0,0.0,171.0,0.0,555.0,12
000 545 6504,2016,Mercedes-Benz,Electrical,0,42236,2009-06-12,1,1,1,1,17.0,12.0,263.0,0.0,386.0,8
000 545 6504,2017,Mercedes-Benz,Electrical,0,42236,2009-06-12,1,1,1,1,24.0,33.0,205.0,0.0,320.0,9
000 545 6504,2018,Mercedes-Benz,Electrical,0,42236,2009-06-12,1,1,1,1,22.0,32.0,205.0,0.0,305.0,10
000 545 6504,2019,Mercedes-Benz,Electrical,0,42236,2009-06-12,1,1,1,1,16.0,14.0,130.0,234.0,257.0,11
000 545 6504,2020,Mercedes-Benz,Electrical,0,42236,2009-06-12,1,1,1,1,35.0,2.0,51.0,0.0,158.0,12
000 820 8110,2016,Mercedes-Benz,Electrical,0,45851,2007-11-15,1,1,1,1,34.0,267.0,188.0,0.0,624.0,10
000 820 8110,2017,Mercedes-Benz,Electrical,0,45851,2007-11-15,1,1,1,1,52.0,210.0,238.0,0.0,592.0,11
000 820 8110,2018,Mercedes-Benz,Electrical,0,45851,2007-11-15,1,1,1,1,49.0,184.0,168.0,0.0,486.0,12
000 820 8110,2019,Mercedes-Benz,Electrical,0,45851,2007-11-15,1,1,1,1,58.0,149.0,86.0,371.0,348.0,13
000 820 8110,2020,Mercedes-Benz,Electrical,0,45851,2007-11-15,1,1,1,1,51.0,166.0,66.0,0.0,333.0,14
000 820 8210,2016,Mercedes-Benz,Electrical,0,55759,2007-11-15,1,1,1,1,31.0,354.0,394.0,0.0,926.0,10
000 820 8210,2017,Mercedes-Benz,Electrical,0,55759,2007-11-15,1,1,1,1,34.0,275.0,298.0,0.0,745.0,11
000 820 8210,2018,Mercedes-Benz,Electrical,0,55759,2007-11-15,1,1,1,1,25.0,297.0,205.0,0.0,658.0,12
000 820 8210,2019,Mercedes-Benz,Electrical,0,55759,2007-11-15,1,1,1,1,61.0,181.0,175.0,472.0,514.0,13
000 820 8210,2020,Mercedes-Benz,Electrical,0,55759,2007-11-15,1,1,1,1,56.0,218.0,77.0,0.0,414.0,14
000 820 9421,2016,Mercedes-Benz,Electrical,0,5205,2003-06-05,1,0,0,1,0.0,0.0,0.0,0.0,29.0,14
000 820 9421,2017,Mercedes-Benz,Electrical,0,5205,2003-06-05,1,0,0,1,0.0,0.0,0.0,0.0,21.0,15
000 820 9421,2018,Mercedes-Benz,Electrical,0,5205,2003-06-05,1,0,0,1,0.0,0.0,0.0,0.0,3.0,16
000 820 9421,2019,Mercedes-Benz,Electrical,0,5205,2003-06-05,1,0,0,1,0.0,0.0,5.0,39.0,36.0,17
000 820 9421,2020,Mercedes-Benz,Electrical,0,5205,2003-06-05,1,0,0,1,0.0,0.0,1.0,0.0,32.0,18
000 820 9421C,2016,Mercedes-Benz,Electrical,0,5205,2003-05-31,1,0,0,0,0.0,0.0,0.0,0.0,22.0,14
000 820 9421C,2017,Mercedes-Benz,Electrical,0,5205,2003-05-31,1,0,0,0,0.0,0.0,0.0,0.0,41.0,15
000 820 9421C,2018,Mercedes-Benz,Electrical,0,5205,2003-05-31,1,0,0,0,0.0,0.0,0.0,0.0,26.0,16
000 820 9421C,2019,Mercedes-Benz,Electrical,0,5205,2003-05-31,1,0,0,0,0.0,0.0,0.0,16.0,14.0,17
000 820 9421C,2020,Mercedes-Benz,Electrical,0,5205,2003-05-31,1,0,0,0,0.0,0.0,0.0,0.0,13.0,18
000 820 9521C,2016,Mercedes-Benz,Electrical,0,5205,2003-05-29,1,0,0,0,0.0,0.0,0.0,0.0,21.0,14
000 820 9521C,2017,Mercedes-Benz,Electrical,0,5205,2003-05-29,1,0,0,0,0.0,0.0,0.0,0.0,24.0,15
000 820 9521C,2018,Mercedes-Benz,Electrical,0,5205,2003-05-29,1,0,0,0,0.0,0.0,0.0,0.0,23.0,16
000 820 9521C,2019,Mercedes-Benz,Electrical,0,5205,2003-05-29,1,0,0,0,0.0,0.0,0.0,23.0,16.0,17
000 820 9521C,2020,Mercedes-Benz,Electrical,0,5205,2003-05-29,1,0,0,0,0.0,0.0,0.0,0.0,21.0,18
004 820 6710,2016,Mercedes-Benz,Climate Control,0,51523,2000-07-31,1,1,1,1,28.0,6.0,0.0,0.0,40.0,17
004 820 6710,2017,Mercedes-Benz,Climate Control,0,51523,2000-07-31,1,1,1,1,19.0,10.0,0.0,0.0,41.0,18
004 820 6710,2018,Mercedes-Benz,Climate Control,0,51523,2000-07-31,1,1,1,1,4.0,9.0,0.0,0.0,18.0,19
004 820 6710,2019,Mercedes-Benz,Climate Control,0,51523,2000-07-31,1,1,1,1,13.0,5.0,0.0,17.0,28.0,20
004 820 6710,2020,Mercedes-Benz,Climate Control,0,51523,2000-07-31,1,1,1,1,10.0,2.0,1.0,0.0,17.0,21
004 820 6810,2016,Mercedes-Benz,Climate Control,0,208899,2000-05-30,1,1,0,0,110.0,0.0,648.0,0.0,879.0,17
004 820 6810,2017,Mercedes-Benz,Climate Control,0,208899,2000-05-30,1,1,0,0,116.0,0.0,388.0,0.0,612.0,18
004 820 6810,2018,Mercedes-Benz,Climate Control,0,208899,2000-05-30,1,1,0,0,76.0,0.0,380.0,0.0,552.0,19
004 820 6810,2019,Mercedes-Benz,Climate Control,0,208899,2000-05-30,1,1,0,0,134.0,0.0,49.0,144.0,227.0,20
004 820 6810,2020,Mercedes-Benz,Climate Control,0,208899,2000-05-30,1,1,0,0,75.0,0.0,0.0,0.0,127.0,21
006 545 3924,2019,Mercedes-Benz,Electrical,0,143610,2006-11-14,2,1,0,0,0.0,0.0,0.0,9.0,0.0,14
006 545 3924,2020,Mercedes-Benz,Electrical,0,143610,2006-11-14,2,1,0,0,5.0,0.0,0.0,0.0,6.0,15
021 109 469,2016,Volkswagen,Engine,0,138830,2016-02-12,1,0,0,1,0.0,0.0,0.0,0.0,87.0,1
021 109 469,2017,Volkswagen,Engine,0,138830,2016-02-12,1,0,0,1,0.0,0.0,0.0,0.0,131.0,2
021 109 469,2018,Volkswagen,Engine,0,138830,2016-02-12,1,0,0,1,0.0,0.0,0.0,0.0,219.0,3
021 109 469,2019,Volkswagen,Engine,0,138830,2016-02-12,1,0,0,1,0.0,0.0,1.0,358.0,328.0,4
021 109 469,2020,Volkswagen,Engine,0,138830,2016-02-12,1,0,0,1,0.0,0.0,2.0,0.0,297.0,5
021 109 513,2016,Volkswagen,Engine,0,45081,2016-02-08,1,0,0,1,0.0,0.0,0.0,0.0,85.0,1
021 109 513,2017,Volkswagen,Engine,0,45081,2016-02-08,1,0,0,1,0.0,0.0,102.0,0.0,183.0,2
021 109 513,2018,Volkswagen,Engine,0,45081,2016-02-08,1,0,0,1,0.0,0.0,33.0,0.0,217.0,3
021 109 513,2019,Volkswagen,Engine,0,45081,2016-02-08,1,0,0,1,0.0,0.0,0.0,199.0,191.0,4
021 109 513,2020,Volkswagen,Engine,0,45081,2016-02-08,1,0,0,1,0.0,0.0,8.0,0.0,134.0,5
02265802,2018,Mercedes-Benz,Electrical,0,51587,2006-10-31,1,1,1,0,80.0,0.0,183.0,0.0,339.0,13
02265802,2019,Mercedes-Benz,Electrical,0,51587,2006-10-31,1,1,1,0,291.0,92.0,494.0,513.0,1174.0,14
02265802,2020,Mercedes-Benz,Electrical,0,51587,2006-10-31,1,1,1,0,174.0,47.0,0.0,0.0,448.0,15
026 103 485A WRITING,2016,Volkswagen,Engine,0,1800888,2010-01-28,1,0,0,0,0.0,0.0,0.0,0.0,334.0,7
026 103 485A WRITING,2017,Volkswagen,Engine,0,1800888,2010-01-28,1,0,0,0,0.0,0.0,0.0,0.0,321.0,8
026 103 485A WRITING,2018,Volkswagen,Engine,0,1800888,2010-01-28,1,0,0,0,0.0,0.0,0.0,0.0,680.0,9
026 103 485A WRITING,2019,Volkswagen,Engine,0,1800888,2010-01-28,1,0,0,0,0.0,0.0,0.0,656.0,554.0,10
026 103 485A WRITING,2020,Volkswagen,Engine,0,1800888,2010-01-28,1,0,0,0,0.0,0.0,0.0,0.0,524.0,11
026 121 145E,2016,Volkswagen,Cooling,0,45296,2010-01-28,1,1,0,1,17.0,0.0,144.0,0.0,268.0,7
026 121 145E,2017,Volkswagen,Cooling,0,45296,2010-01-28,1,1,0,1,8.0,0.0,124.0,0.0,222.0,8
026 121 145E,2018,Volkswagen,Cooling,0,45296,2010-01-28,1,1,0,1,11.0,0.0,62.0,0.0,138.0,9
026 121 145E,2019,Volkswagen,Cooling,0,45296,2010-01-28,1,1,0,1,21.0,0.0,46.0,132.0,88.0,10
026 121 145E,2020,Volkswagen,Cooling,0,45296,2010-01-28,1,1,0,1,18.0,0.0,39.0,0.0,72.0,11
02608122,2017,Jaguar,Electrical,0,2485,2001-08-20,1,0,0,1,0.0,0.0,0.0,0.0,31.0,17
02608122,2018,Jaguar,Electrical,0,2485,2001-08-20,1,0,0,1,0.0,0.0,0.0,0.0,96.0,18
02608122,2019,Jaguar,Electrical,0,2485,2001-08-20,1,0,0,1,0.0,0.0,2.0,141.0,139.0,19
02608122,2020,Jaguar,Electrical,0,2485,2001-08-20,1,0,0,1,0.0,0.0,2.0,0.0,120.0,20
028 103 663A,2016,Volkswagen,Engine,0,6506,2010-01-28,1,1,0,1,70.0,0.0,72.0,0.0,347.0,7
028 103 663A,2017,Volkswagen,Engine,0,6506,2010-01-28,1,1,0,1,9.0,0.0,67.0,0.0,251.0,8
028 103 663A,2018,Volkswagen,Engine,0,6506,2010-01-28,1,1,0,1,13.0,0.0,135.0,0.0,236.0,9
028 103 663A,2019,Volkswagen,Engine,0,6506,2010-01-28,1,1,0,1,37.0,0.0,92.0,78.0,152.0,10
028 103 663A,2020,Volkswagen,Engine,0,6506,2010-01-28,1,1,0,1,40.0,0.0,5.0,0.0,58.0,11
028 121 132A,2016,Volkswagen,Cooling,0,6506,2010-01-28,1,1,0,1,13.0,0.0,64.0,0.0,164.0,7
028 121 132A,2017,Volkswagen,Cooling,0,6506,2010-01-28,1,1,0,1,5.0,0.0,85.0,0.0,166.0,8
028 121 132A,2018,Volkswagen,Cooling,0,6506,2010-01-28,1,1,0,1,7.0,0.0,51.0,0.0,140.0,9
028 121 132A,2019,Volkswagen,Cooling,0,6506,2010-01-28,1,1,0,1,26.0,0.0,12.0,89.0,74.0,10
028 121 132A,2020,Volkswagen,Cooling,0,6506,2010-01-28,1,1,0,1,12.0,0.0,21.0,0.0,52.0,11
028 145 278E,2016,Volkswagen,Engine,0,122836,2010-01-28,1,0,0,1,0.0,0.0,0.0,0.0,143.0,7
028 145 278E,2017,Volkswagen,Engine,0,122836,2010-01-28,1,0,0,1,0.0,0.0,0.0,0.0,136.0,8
028 145 278E,2018,Volkswagen,Engine,0,122836,2010-01-28,1,0,0,1,0.0,0.0,0.0,0.0,144.0,9
028 145 278E,2019,Volkswagen,Engine,0,122836,2010-01-28,1,0,0,1,0.0,0.0,0.0,112.0,134.0,10
028 145 278E,2020,Volkswagen,Engine,0,122836,2010-01-28,1,0,0,1,0.0,0.0,1.0,0.0,81.0,11
032 121 142,2016,Volkswagen,Cooling,0,4825683,2010-10-11,1,1,0,1,575.0,0.0,17998.0,0.0,26158.0,7
032 121 142,2017,Volkswagen,Cooling,0,4825683,2010-10-11,1,1,0,1,428.0,0.0,11732.0,0.0,18272.0,8
032 121 142,2018,Volkswagen,Cooling,0,4825683,2010-10-11,1,1,0,1,288.0,0.0,9994.0,0.0,16430.0,9
032 121 142,2019,Volkswagen,Cooling,0,4825683,2010-10-11,1,1,0,1,798.0,0.0,9187.0,14262.0,15569.0,10
032 121 142,2020,Volkswagen,Cooling,0,4825683,2010-10-11,1,1,0,1,1179.0,0.0,4586.0,0.0,10332.0,11
03613802,2018,Volkswagen,Electrical,0,135559,2018-05-22,1,0,0,0,0.0,0.0,0.0,0.0,16.0,1
03613802,2019,Volkswagen,Electrical,0,135559,2018-05-22,1,0,0,0,0.0,0.0,0.0,83.0,85.0,2
03613802,2020,Volkswagen,Electrical,0,135559,2018-05-22,1,0,0,0,0.0,0.0,0.0,0.0,82.0,3
03613808,2018,Volkswagen,Electrical,0,802289,2018-08-22,1,0,0,1,0.0,0.0,0.0,0.0,26.0,1
03613808,2019,Volkswagen,Electrical,0,802289,2018-08-22,1,0,0,1,0.0,0.0,0.0,435.0,168.0,2
