units_sold,firstSold,vehicleMaxQty,isDevelopment,make,category,year,TotalVIO,SaleYearRank,HasPartsAuthorityPurchased,HasWorldPacPurchased,HasSSFPurchased
2,2020-12-09 20:00:55.887,2,False,Infiniti,Engine,2020,610644,1,False,False,False
2,2020-12-09 20:00:55.887,2,False,Nissan,Engine,2020,610644,1,False,False,False
1,2020-12-09 20:00:55.860,1,False,Hyundai,Engine,2020,1156295,1,False,False,False
1,2020-12-09 20:00:55.860,1,False,Kia,Engine,2020,1156295,1,False,False,False
1,2020-12-09 20:00:55.817,1,False,Audi,Transmission,2020,202140,1,False,False,False
1,2020-12-09 20:00:55.817,1,False,Porsche,Transmission,2020,202140,1,False,False,False
1,2020-12-09 20:00:55.790,1,False,BMW,Climate Control,2020,497270,1,False,False,False
2,2020-12-09 20:00:55.720,2,True,BMW,Fuel,2020,1414890,1,False,False,False
3,2020-12-09 20:00:55.687,3,True,BMW,Engine,2020,78839,1,False,False,False
1,2020-12-09 20:00:55.647,1,False,BMW,Engine,2020,26922,1,False,False,False
2,2020-12-08 17:15:40.270,1,False,Nissan,Brakes,2020,263856,1,True,False,False
24,2020-12-03 22:22:13.340,1,False,Audi,Engine,2020,30421,1,True,False,False
1,2020-12-03 22:05:04.513,1,False,Land Rover,Cooling,2020,2884,1,False,False,False
1,2020-12-01 18:38:07.680,1,False,Mercedes-Benz,Body,2020,8056,1,False,False,False
2,2020-12-01 00:30:59.670,1,False,Mercedes-Benz,Engine,2020,104002,1,True,False,False
3,2020-11-30 22:42:24.897,1,False,BMW,Engine,2020,869233,1,True,False,False
20,2020-11-30 20:27:10.680,2,False,Mercedes-Benz,Suspension,2020,23007,1,False,False,False
1,2020-11-26 00:38:37.700,1,True,Porsche,Fuel,2020,26923,1,False,False,False
9,2020-11-25 00:41:08.980,1,True,Porsche,Engine,2020,29792,1,False,False,False
13,2020-11-23 21:35:19.580,1,True,Mini,Engine,2020,168538,1,False,False,True
13,2020-11-23 21:34:58.967,1,False,Mercedes-Benz,Cooling,2020,110579,1,True,False,True
5,2020-11-20 21:23:32.553,1,False,Buick,Engine,2020,502102,1,True,False,False
5,2020-11-20 21:23:32.553,1,False,Chevrolet,Engine,2020,502102,1,True,False,False
5,2020-11-20 21:23:32.553,1,False,GMC,Engine,2020,502102,1,True,False,False
5,2020-11-20 21:23:32.553,1,False,Saab,Engine,2020,502102,1,True,False,False
6,2020-11-20 00:23:47.647,6,False,Mitsubishi,Electrical,2020,206519,1,False,False,False
1,2020-11-19 18:49:08.153,1,False,Ford,Cooling,2020,0,1,False,False,False
5,2020-11-19 17:22:46.733,1,False,Buick,Cooling,2020,1015161,1,False,False,False
5,2020-11-19 17:22:46.733,1,False,Cadillac,Cooling,2020,1015161,1,False,False,False
5,2020-11-19 17:22:46.733,1,False,Chevrolet,Cooling,2020,1015161,1,False,False,False
5,2020-11-19 17:22:46.733,1,False,Oldsmobile,Cooling,2020,1015161,1,False,False,False
5,2020-11-19 17:22:46.733,1,False,Pontiac,Cooling,2020,1015161,1,False,False,False
5,2020-11-19 17:22:46.733,1,False,Saturn,Cooling,2020,1015161,1,False,False,False
3,2020-11-19 17:22:46.703,1,False,Chevrolet,Engine,2020,347217,1,False,False,False
3,2020-11-19 17:22:46.703,1,False,Pontiac,Engine,2020,347217,1,False,False,False
5,2020-11-19 17:22:46.667,1,False,Buick,Engine,2020,195700,1,True,False,False
5,2020-11-19 17:22:46.667,1,False,Pontiac,Engine,2020,195700,1,True,False,False
