ActualSales,ForecastDiff,TotalParts,NoOfPartsWithDiffs,Volume Coverage %
1 to 500,-100 to 100,6439,747,11.6
1 to 500,-250 to 250,6439,332,5.16
1 to 500,-50 to 50,6439,5277,81.95
1 to 500,< -250 & > 250,6439,83,1.29
1500 to 3000,-100 to 100,329,77,23.4
1500 to 3000,-250 to 250,329,85,25.84
1500 to 3000,-50 to 50,329,114,34.65
1500 to 3000,< -250 & > 250,329,53,16.11
3000 to 5000,-100 to 100,95,10,10.53
3000 to 5000,-250 to 250,95,17,17.89
3000 to 5000,-50 to 50,95,4,4.21
3000 to 5000,< -250 & > 250,95,64,67.37
500 to 1500,-100 to 100,828,163,19.69
500 to 1500,-250 to 250,828,150,18.12
500 to 1500,-50 to 50,828,379,45.77
500 to 1500,< -250 & > 250,828,136,16.43
> 5000,-250 to 250,83,13,15.66
> 5000,-50 to 50,83,1,1.2
> 5000,< -250 & > 250,83,69,83.13
