units_sold,firstSold,vehicleMaxQty,isDevelopment,make,category,year,TotalVIO,no_of_days,HasPartsAuthorityPurchased,HasWorldPacPurchased,HasSSFPurchased,sale_year_rank
5211,2019-04-05,1,True,Chevrolet,Engine,2020,751274,365,True,True,False,2
5211,2019-04-05,1,True,Pontiac,Engine,2020,751274,365,True,True,False,2
5211,2019-04-05,1,True,Saturn,Engine,2020,751274,365,True,True,False,2
6792,2019-02-01,24,True,Porsche,Engine,2019,51156,332,True,False,False,1
6738,2018-12-04,2,False,Aston Martin,Electrical,2020,7142799,365,True,True,False,3
6738,2018-12-04,2,False,Audi,Electrical,2020,7142799,365,True,True,False,3
6738,2018-12-04,2,False,BMW,Electrical,2020,7142799,365,True,True,False,3
6738,2018-12-04,2,False,Buick,Electrical,2020,7142799,365,True,True,False,3
6738,2018-12-04,2,False,Cadillac,Electrical,2020,7142799,365,True,True,False,3
6738,2018-12-04,2,False,Chevrolet,Electrical,2020,7142799,365,True,True,False,3
6738,2018-12-04,2,False,Chrysler,Electrical,2020,7142799,365,True,True,False,3
6738,2018-12-04,2,False,Dodge,Electrical,2020,7142799,365,True,True,False,3
6738,2018-12-04,2,False,Fisker,Electrical,2020,7142799,365,True,True,False,3
6738,2018-12-04,2,False,Ford,Electrical,2020,7142799,365,True,True,False,3
6738,2018-12-04,2,False,Freightliner,Electrical,2020,7142799,365,True,True,False,3
6738,2018-12-04,2,False,Genesis,Electrical,2020,7142799,365,True,True,False,3
6738,2018-12-04,2,False,GMC,Electrical,2020,7142799,365,True,True,False,3
6738,2018-12-04,2,False,Hyundai,Electrical,2020,7142799,365,True,True,False,3
6738,2018-12-04,2,False,Jaguar,Electrical,2020,7142799,365,True,True,False,3
6738,2018-12-04,2,False,Jeep,Electrical,2020,7142799,365,True,True,False,3
6738,2018-12-04,2,False,Kia,Electrical,2020,7142799,365,True,True,False,3
6738,2018-12-04,2,False,Lamborghini,Electrical,2020,7142799,365,True,True,False,3
6738,2018-12-04,2,False,Land Rover,Electrical,2020,7142799,365,True,True,False,3
6738,2018-12-04,2,False,Lincoln,Electrical,2020,7142799,365,True,True,False,3
6738,2018-12-04,2,False,Mercedes-Benz,Electrical,2020,7142799,365,True,True,False,3
6738,2018-12-04,2,False,Mini,Electrical,2020,7142799,365,True,True,False,3
6738,2018-12-04,2,False,Mitsubishi,Electrical,2020,7142799,365,True,True,False,3
6738,2018-12-04,2,False,Porsche,Electrical,2020,7142799,365,True,True,False,3
6738,2018-12-04,2,False,Rolls Royce,Electrical,2020,7142799,365,True,True,False,3
6738,2018-12-04,2,False,Saab,Electrical,2020,7142799,365,True,True,False,3
6738,2018-12-04,2,False,Saturn,Electrical,2020,7142799,365,True,True,False,3
6738,2018-12-04,2,False,Seat,Electrical,2020,7142799,365,True,True,False,3
6738,2018-12-04,2,False,Subaru,Electrical,2020,7142799,365,True,True,False,3
6738,2018-12-04,2,False,Volkswagen,Electrical,2020,7142799,365,True,True,False,3
6738,2018-12-04,2,False,Volvo,Electrical,2020,7142799,365,True,True,False,3
5724,2018-07-23,26,True,BMW,Engine,2019,853164,365,True,True,True,2
5503,2018-05-26,14,True,Porsche,Body,2020,45225,365,True,False,True,3
5696,2018-01-13,15,True,BMW,Engine,2019,730446,365,True,True,True,2
7629,2017-06-21,1,False,BMW,Engine,2020,468419,365,True,True,True,4
14939,2017-06-21,1,False,BMW,Engine,2020,730446,365,True,True,True,4
15670,2017-06-21,1,False,BMW,Engine,2019,730446,365,True,True,True,3
14288,2017-06-21,1,False,BMW,Engine,2018,730446,365,True,True,True,2
7946,2017-05-04,1,False,Mini,Engine,2020,433619,365,True,True,True,4
7748,2017-05-04,1,False,Mini,Engine,2019,433619,365,True,True,True,3
8729,2017-02-06,1,False,BMW,Cooling,2020,2972159,365,True,True,True,4
5190,2017-02-06,1,False,BMW,Cooling,2019,2972159,365,True,True,True,3
5916,2016-08-01,2,False,BMW,Cooling,2018,1165553,365,True,True,True,3
9518,2016-01-22,1,False,Audi,Engine,2019,104661,365,True,True,True,4
9518,2016-01-22,1,False,Volkswagen,Engine,2019,104661,365,True,True,True,4
8966,2015-03-13,1,False,BMW,Engine,2020,2687641,365,True,True,True,6
7721,2015-03-13,1,False,BMW,Engine,2019,2687641,365,True,True,True,5
6894,2014-10-03,1,False,Audi,Engine,2017,2567509,365,True,True,False,4
6894,2014-10-03,1,False,Seat,Engine,2017,2567509,365,True,True,False,4
6894,2014-10-03,1,False,Volkswagen,Engine,2017,2567509,365,True,True,False,4
6259,2014-08-18,20,False,Audi,Body,2020,1368571,365,True,True,False,7
5811,2014-08-18,20,False,Audi,Body,2017,1368571,365,True,True,False,4
6259,2014-08-18,20,False,Volkswagen,Body,2020,1368571,365,True,True,False,7
5811,2014-08-18,20,False,Volkswagen,Body,2017,1368571,365,True,True,False,4
8425,2014-06-19,1,False,Audi,Engine,2016,796042,365,True,True,True,3
8425,2014-06-19,1,False,Volkswagen,Engine,2016,796042,365,True,True,True,3
6525,2014-04-28,1,False,BMW,Engine,2017,1742829,365,True,True,False,4
7262,2014-04-28,1,False,BMW,Engine,2016,1742829,365,True,True,False,3
13396,2014-04-16,1,False,Mercedes-Benz,Fuel,2020,1159151,365,True,True,True,7
7730,2014-04-16,1,False,Mercedes-Benz,Fuel,2019,1159151,365,True,True,True,6
31311,2014-04-16,1,False,Mercedes-Benz,Fuel,2018,1159151,365,True,True,True,5
16464,2014-04-16,1,False,Mercedes-Benz,Fuel,2016,1159151,365,True,True,True,3
26692,2014-04-16,1,False,Mercedes-Benz,Fuel,2017,1159151,365,True,True,True,4
5798,2013-09-12,1,False,BMW,Climate Control,2019,1634322,365,True,True,False,7
6408,2013-09-12,1,False,BMW,Climate Control,2018,1634322,365,True,True,False,6
9376,2013-09-12,1,False,BMW,Climate Control,2016,1634322,365,True,True,False,4
5657,2013-05-21,8,False,Volvo,Body,2018,665866,365,True,True,False,6
16424,2013-04-09,16,False,Mercedes-Benz,Body,2020,1273371,365,True,True,True,8
18539,2013-04-09,16,False,Mercedes-Benz,Body,2019,1273371,365,True,True,True,7
7313,2013-04-09,16,False,Mercedes-Benz,Body,2018,1273371,365,True,True,True,6
7994,2013-04-09,16,False,Mercedes-Benz,Body,2017,1273371,365,True,True,True,5
11277,2013-04-09,16,False,Mercedes-Benz,Body,2016,1273371,365,True,True,True,4
8130,2013-01-11,1,False,Audi,Fuel,2016,614890,365,True,True,False,4
8130,2013-01-11,1,False,Volkswagen,Fuel,2016,614890,365,True,True,False,4
9353,2012-11-14,2,False,BMW,Body,2019,3744694,365,True,True,True,8
9749,2012-11-14,2,False,BMW,Body,2018,3744694,365,True,True,True,7
8912,2012-11-14,2,False,BMW,Body,2017,3744694,365,True,True,True,6
5560,2012-11-14,2,False,BMW,Body,2016,3744694,365,True,True,True,5
9353,2012-11-14,2,False,Mini,Body,2019,3744694,365,True,True,True,8
9749,2012-11-14,2,False,Mini,Body,2018,3744694,365,True,True,True,7
8912,2012-11-14,2,False,Mini,Body,2017,3744694,365,True,True,True,6
5560,2012-11-14,2,False,Mini,Body,2016,3744694,365,True,True,True,5
5960,2012-10-09,1,False,BMW,Cooling,2019,540267,365,True,True,True,8
9612,2012-10-09,1,False,BMW,Cooling,2016,540267,365,True,True,True,5
11632,2012-10-09,1,False,BMW,Cooling,2017,540267,365,True,True,True,6
8432,2012-10-09,1,False,BMW,Cooling,2018,540267,365,True,True,True,7
8140,2012-07-03,1,False,Volvo,Cooling,2016,173424,365,True,True,True,5
5681,2012-04-10,2,False,Volvo,Suspension,2016,451196,365,True,True,True,5
8936,2012-02-28,2,False,Mercedes-Benz,Body,2020,2041904,365,True,True,True,9
10309,2012-02-28,2,False,Mercedes-Benz,Body,2019,2041904,365,True,True,True,8
11383,2012-02-28,2,False,Mercedes-Benz,Body,2018,2041904,365,True,True,True,7
8177,2012-02-28,2,False,Mercedes-Benz,Body,2017,2041904,365,True,True,True,6
11510,2012-02-28,2,False,Mercedes-Benz,Body,2016,2041904,365,True,True,True,5
14865,2012-02-06,22,False,BMW,Engine,2020,1203139,365,True,True,False,9
10642,2012-02-06,22,False,BMW,Engine,2019,1203139,365,True,True,False,8
12022,2012-02-06,22,False,BMW,Engine,2018,1203139,365,True,True,False,7
19671,2012-02-06,22,False,BMW,Engine,2017,1203139,365,True,True,False,6
31252,2012-02-06,22,False,BMW,Engine,2016,1203139,365,True,True,False,5
14865,2012-02-06,22,False,Land Rover,Engine,2020,1203139,365,True,True,False,9
10642,2012-02-06,22,False,Land Rover,Engine,2019,1203139,365,True,True,False,8
12022,2012-02-06,22,False,Land Rover,Engine,2018,1203139,365,True,True,False,7
19671,2012-02-06,22,False,Land Rover,Engine,2017,1203139,365,True,True,False,6
31252,2012-02-06,22,False,Land Rover,Engine,2016,1203139,365,True,True,False,5
5397,2012-01-26,1,True,Volvo,Fuel,2016,259740,365,True,True,True,5
5609,2011-12-06,2,False,Volvo,Suspension,2017,797128,365,True,True,True,7
7006,2011-12-06,2,False,Volvo,Suspension,2016,797128,365,True,True,True,6
5217,2011-07-25,10,False,Saab,Body,2018,278806,365,True,True,False,8
11862,2011-07-25,10,False,Saab,Body,2017,278806,365,True,True,False,7
11243,2011-07-25,10,False,Saab,Body,2016,278806,365,True,True,False,6
5217,2011-07-25,10,False,Volvo,Body,2018,278806,365,True,True,False,8
11862,2011-07-25,10,False,Volvo,Body,2017,278806,365,True,True,False,7
11243,2011-07-25,10,False,Volvo,Body,2016,278806,365,True,True,False,6
