units_sold,partType,vehicleMaxQty,isDevelopment,make,category,subCat,year,TotalVIO,no_of_days,HasPartsAuthorityPurchased,HasWorldPacPurchased,HasSSFPurchased,sale_year_rank
1383,Hard Top Storage Cart,1,False,Chevrolet,Accessories,Miscellaneous,2019,297628,365,True,True,True,20
571,Hard Top Storage Cart,1,False,Chevrolet,Accessories,Miscellaneous,2016,297628,365,False,True,False,17
22,Engine Variable Timing Solenoid,1,False,Scion,Engine,"Relays, Switches, Solenoids",2020,2898153,89,True,False,False,0
160,Alternator Pulley,1,False,Porsche,Electrical,Charging System,2016,26763,295,True,True,True,0
58,Automatic Transmission Mount,1,False,Audi,Transmission,Mountings & Bushings,2020,678446,365,False,True,False,7
2212,Drive Shaft Center Support,1,False,BMW,Drivetrain & Hub,Driveshaft,2020,1392972,365,True,True,True,8
1090,Engine Coolant Temperature Sensor,1,False,Ford,Electrical,Sensors & Senders,2019,486197,365,False,True,True,13
107,Window Regulator,1,False,Mini,Body,Regulators,2020,156573,365,True,True,True,6
116,HVAC Blower Motor,1,False,Volvo,Climate Control,Motors & Servos,2016,118220,365,False,True,False,8
18,Engine Splash Shield,1,True,Jaguar,Body,Air Guides,2018,46147,365,True,False,False,2
1233,Engine Timing Belt Tensioner,1,False,Audi,Engine,Pulleys & Tensioners,2019,263465,365,True,True,True,10
166,Drive Belt Tensioner Pulley,1,False,Volvo,Engine,Pulleys & Tensioners,2017,63912,365,True,True,False,8
6,A/C Receiver Drier,1,False,Saab,Climate Control,Driers & Accumulators,2017,475,365,True,True,False,18
11,Secondary Air Injection Pump,1,False,Chevrolet,Engine,Emissions,2020,506016,41,True,False,False,0
570,Ambient Air Temperature Sensor,1,False,Audi,Electrical,Sensors & Senders,2020,2570212,365,True,True,False,2
2188,Windshield Wiper Arm Cap Nut,2,False,Porsche,Body,Caps & Boots,2016,53258,365,True,True,True,2
2010,Engine Coolant Reservoir Cap,1,False,Volvo,Cooling,Caps & Boots,2018,388446,365,True,True,True,4
72,Steering Tie Rod End,1,False,Volvo,Steering,Steering,2017,173424,365,False,True,False,6
141,Automatic Transmission Oil Pan Gasket,1,False,Jaguar,Transmission,Gaskets & Seals,2016,106980,365,True,True,False,8
141,Rack and Pinion Bellows Clamp,2,False,BMW,Steering,Miscellaneous,2020,430683,365,True,True,False,7
650,Power Antenna,1,False,Porsche,Electrical,Antenna,2019,256672,365,True,True,False,19
32,ABS Wheel Speed Sensor,1,False,BMW,Brakes,Sensors & Senders,2020,479733,121,True,True,False,0
16,Engine Oil Pressure Switch,1,False,Audi,Electrical,Sensors & Senders,2018,54961,282,True,False,False,0
540,Spark Plug Wire Holder,5,False,Porsche,Electrical,Ignition System,2018,43615,365,True,True,True,3
1124,Door Latch Cable,2,False,BMW,Body,"Cables, Controls, Levers",2019,154866,365,True,True,True,7
395,Engine Intake Manifold Adjusting Unit,1,False,BMW,Fuel,Emissions,2019,492945,347,True,True,False,0
156,Back Glass Seal,1,False,BMW,Body,Gaskets & Seals,2020,11648,365,True,True,True,21
881,Automatic Transmission Valve Body Sealing Sleeve,1,False,Mercury,Transmission,Caps & Boots,2017,1581153,365,True,True,False,3
26,Radiator Coolant Hose,1,False,Mini,Cooling,"Hoses, Pipes, Tubes",2017,56048,365,True,True,False,6
30,Windshield Washer Pump Grommet,1,False,Jaguar,Body,Wiper & Washer System,2020,140789,365,True,False,False,5
1,Tail Light,1,False,Volvo,Electrical,Tail Lamps,2017,43769,365,True,False,False,3
1663,Engine Oil Dipstick,1,False,Volkswagen,Engine,Miscellaneous,2020,116506,365,True,False,False,4
356,Power Steering Pressure Switch,1,False,Audi,Electrical,Sensors & Senders,2020,464798,365,True,True,False,7
514,Engine Coolant Reservoir Cap,1,False,Saturn,Cooling,Caps & Boots,2020,126093,365,False,True,False,7
86,Engine Mount,1,False,Audi,Engine,Mountings & Bushings,2020,82198,365,True,True,False,8
32,Back Glass Seal,1,False,Mercedes-Benz,Body,Gaskets & Seals,2016,33113,365,True,False,False,17
118,Door Mirror,1,False,Fiat,Body,Doors & Windows,2019,6675,365,False,True,False,12
143,Engine Coolant Reservoir Hose,1,False,Saab,Cooling,"Hoses, Pipes, Tubes",2017,50928,365,True,True,False,3
18,Suspension Stabilizer Bar Link,2,False,Audi,Suspension,Stabilizers,2020,4496,365,True,True,False,9
960,Engine Coolant Bypass Hose,1,False,Jaguar,Cooling,"Hoses, Pipes, Tubes",2016,13393,365,True,True,False,17
91,Engine Valve Cover Washer Seal,1,False,BMW,Engine,Gaskets & Seals,2018,42940,365,False,True,False,3
256,Fuel Tank Sending Unit,1,False,Volvo,Fuel,Sensors & Senders,2019,52033,365,True,True,False,6
14,Side Marker Light Assembly,1,False,Volvo,Electrical,Marker Lamps,2017,19645,365,True,True,False,9
49,Drive Belt Tensioner,1,False,Mercedes-Benz,Engine,Pulleys & Tensioners,2020,8596,365,True,True,False,14
148,Engine Oil Pressure Sensor,1,False,Porsche,Electrical,Sensors & Senders,2017,19301,365,True,True,True,11
