sales_range,firstSold,vehicleMaxQty,isDevelopment,make,category,year,TotalVIO,SaleYearRank,HasPartsAuthorityPurchased,HasWorldPacPurchased,HasSSFPurchased
[1 - 25],2021-02-16 00:51:40.410,1,True,Volvo,Fuel,2021,410632,1,False,False,False
[1 - 25],2021-02-16 00:44:03.833,1,True,Lexus,Steering,2021,204409,1,False,False,False
[1 - 25],2021-02-16 00:44:03.647,1,False,Ford,Engine,2021,0,1,False,False,False
[1 - 25],2021-02-15 21:25:36.750,1,True,BMW,Engine,2021,2099623,1,True,False,False
[26 - 50],2021-02-15 18:35:34.490,1,False,Audi,Engine,2021,413417,1,True,False,False
[1 - 25],2021-02-12 17:14:34.563,1,False,Audi,Engine,2021,4632,1,True,False,False
[1 - 25],2021-02-10 22:28:55.953,8,True,Porsche,Body,2021,65533,1,False,False,False
[1 - 25],2021-02-10 17:31:07.680,1,False,Porsche,Cooling,2021,24794,1,False,False,False
[1 - 25],2021-02-10 17:31:07.680,1,False,Volkswagen,Cooling,2021,24794,1,False,False,False
[1 - 25],2021-02-09 23:53:19.207,1,False,Mercedes-Benz,Engine,2021,1157799,1,False,False,False
[1 - 25],2021-02-09 00:29:08.547,2,True,Mini,Body,2021,465722,1,False,False,False
[1 - 25],2021-02-08 18:28:17.777,1,True,Audi,Transmission,2021,195243,1,False,False,False
[1 - 25],2021-02-08 18:28:17.777,1,True,Volkswagen,Transmission,2021,195243,1,False,False,False
[1 - 25],2021-02-08 16:44:19.240,1,True,Mini,Engine,2021,244072,1,False,False,False
[1 - 25],2021-02-05 17:31:35.190,1,True,Porsche,Cooling,2021,41030,1,True,False,False
[1 - 25],2021-02-05 17:31:27.987,1,False,Volkswagen,Engine,2021,246108,1,True,False,False
[1 - 25],2021-02-05 17:31:26.817,1,False,Volkswagen,Engine,2021,102976,1,True,False,False
[1 - 25],2021-02-04 21:19:06.150,1,True,Mini,Transmission,2021,74432,1,False,False,True
[26 - 50],2021-02-04 19:42:04.333,1,True,Porsche,Electrical,2021,436573,1,True,False,False
[1 - 25],2021-02-04 00:04:52.640,1,True,BMW,Body,2021,18992,1,False,False,False
[1 - 25],2021-02-03 00:14:19.383,1,True,Infiniti,Fuel,2021,468866,1,False,False,False
[1 - 25],2021-02-03 00:14:19.383,1,True,Nissan,Fuel,2021,468866,1,False,False,False
[1 - 25],2021-02-03 00:14:19.347,1,True,Nissan,Fuel,2021,562743,1,False,False,False
[1 - 25],2021-02-03 00:14:19.307,1,True,Infiniti,Fuel,2021,3093907,1,False,False,False
[1 - 25],2021-02-03 00:14:19.307,1,True,Nissan,Fuel,2021,3093907,1,False,False,False
[1 - 25],2021-02-03 00:14:19.270,1,True,Infiniti,Fuel,2021,1858017,1,False,False,False
[1 - 25],2021-02-03 00:14:19.270,1,True,Nissan,Fuel,2021,1858017,1,False,False,False
[1 - 25],2021-02-03 00:14:18.740,1,False,Nissan,Brakes,2021,429511,1,False,False,False
[1 - 25],2021-02-03 00:14:18.700,1,False,Nissan,Brakes,2021,282366,1,False,False,False
[1 - 25],2021-02-03 00:14:17.167,1,False,Honda,Brakes,2021,563321,1,False,False,False
[1 - 25],2021-02-03 00:14:11.540,1,False,Dodge,Cooling,2021,2014984,1,False,False,False
[1 - 25],2021-02-03 00:14:11.540,1,False,Jeep,Cooling,2021,2014984,1,False,False,False
[1 - 25],2021-02-02 18:38:47.983,0,False,Mini,Engine,2021,86936,1,False,False,False
[1 - 25],2021-01-30 00:19:24.553,1,False,Volkswagen,Cooling,2021,0,1,False,False,False
[1 - 25],2021-01-28 18:45:27.520,1,True,BMW,Body,2021,64655,1,True,False,False
[1 - 25],2021-01-28 00:49:06.627,2,False,Audi,Brakes,2021,198101,1,False,False,False
[1 - 25],2021-01-28 00:49:06.627,2,False,Porsche,Brakes,2021,198101,1,False,False,False
[1 - 25],2021-01-28 00:49:06.627,2,False,Volkswagen,Brakes,2021,198101,1,False,False,False
[1 - 25],2021-01-28 00:49:06.593,2,False,Audi,Brakes,2021,155569,1,False,False,False
[1 - 25],2021-01-28 00:49:06.593,2,False,Porsche,Brakes,2021,155569,1,False,False,False
[1 - 25],2021-01-28 00:49:06.593,2,False,Volkswagen,Brakes,2021,155569,1,False,False,False
[1 - 25],2021-01-28 00:49:06.567,2,False,BMW,Brakes,2021,77684,1,False,False,False
[1 - 25],2021-01-28 00:49:06.533,2,False,BMW,Brakes,2021,79580,1,False,False,False
