epoch,lstm_nodes,batch,optimizer,loss_eval,RMSE,MAPE,at
1000,200,256,adadelta,mae,390.1634273,538.916254,
1000,200,256,adagrad,mae,367.9664344,571.703434,
1000,200,256,adam,mae,291.3097444,383.1474066,
1000,200,256,adamax,mae,313.5757235,375.9507656,
1000,200,256,ftrl,mae,426.5574038,533.9439392,
1000,200,256,nadam,mae,272.8222292,375.3822803,
1000,200,256,rmsprop,mae,289.1732018,497.0713615,
1000,200,256,sgd,mae,364.628921,561.7790222,
5000,200,20000,adadelta,mae,499.009973,146.8125939,
1000,200,512,adadelta,mae,481.0019328,510.3592873,
1000,200,512,rmsprop,mape,504.7856754,88.90499473,
1000,200,512,adadelta,mse,565.3051996,1008.536053,
1000,200,512,sgd,mae,495.7289456,213.3186102,
1000,200,256,nadam,mse,505.7801678,91.08518958,
1000,200,512,adadelta,mape,495.9932743,229.9510479,
1000,200,512,sgd,mse,576.7308189,1159.32579,
1000,200,512,adagrad,mae,522.6679156,227.8993845,
1000,200,512,sgd,mape,2286610000000.0,17120300000000.0,
1000,200,256,nadam,mape,506.0518748,95.577389,
1000,200,256,adadelta,mae,556.8025907,697.5419044,
1000,200,256,rmsprop,mape,504.7815895,88.90399933,
5000,200,256,adadelta,mae,498.1036696,274.381423,
5000,200,256,adadelta,mse,501.8115776,296.4341402,
5000,200,256,adadelta,mae,528.9860289,467.2604561,2021-02-14T04:00:41.638762
5000,200,256,adagrad,mae,505.2170171,144.3809867,2021-02-14T06:00:41.748276
5000,256,1000,adadelta,mae,484.6929602,344.3185091,2021-02-14T12:09:49.599966
5000,256,1000,adagrad,mae,516.8808192,370.2204227,2021-02-14T12:42:45.350425
5000,256,1000,adam,mae,505.4436016,89.31430578,2021-02-14T13:17:01.424369
5000,256,1000,adamax,mae,505.4559823,89.33038712,2021-02-14T13:51:28.023077
5000,256,1000,ftrl,mae,505.8763281,92.48329997,2021-02-14T14:26:10.094733
5000,256,1000,nadam,mae,505.6673808,90.9078002,2021-02-14T15:07:18.026534
5000,256,1000,rmsprop,mae,504.5031126,91.15549326,2021-02-14T15:43:21.698013
5000,200,256,adadelta,mse,509.6438708,393.0013657,2021-02-14T23:53:23.739276
5000,200,256,adadelta,mse,565.5975546,893.1416512,2021-02-15T02:16:24.800761
5000,200,256,adagrad,mse,499.7316624,323.6371994,2021-02-15T04:21:16.656546
5000,200,256,adam,mae,505.463123,89.38092589,2021-02-15T13:10:04.218203
5000,200,256,adam,mae,251.1119723,339.9689436,2021-02-15T13:51:50.787472
5000,512,512,adam,mean_squared_error,340.5188367,646.1519241,2021-02-15T17:11:40.063482
1000,200,4096,adam,mape,718.3459299,96.8598485,2021-02-15T18:57:09.531862
1000,200,4096,adam,mape,720.4966169,92.42867231,2021-02-15T19:09:56.953896
100,200,512,adam,mape,720.4808073,92.25090146,2021-02-15T19:40:14.766586
100,200,1024,adam,mape,720.4181728,91.59355164,2021-02-15T19:40:42.407127
100,200,512,adam,mape,720.4834531,92.26946235,2021-02-15T19:43:00.657208
100,200,512,adam,mape,720.4844074,92.28035212,2021-02-15T19:48:17.828834
100,200,1024,adam,mape,720.4433965,91.81058407,2021-02-15T19:48:45.265350
100,200,2048,adam,mape,720.3611507,91.70134068,2021-02-15T19:49:06.307239
100,200,4096,adam,mape,720.1496806,96.00915909,2021-02-15T19:49:24.271762
100,200,8192,adam,mape,719.4160827,128.2907486,2021-02-15T19:49:40.892797
100,500,512,adam,mape,720.5060071,92.51127839,2021-02-15T19:50:40.941074
100,500,1024,adam,mape,720.5045324,92.45651364,2021-02-15T19:51:25.539884
100,500,2048,adam,mape,720.4970723,92.60125756,2021-02-15T19:52:02.593606
100,500,4096,adam,mape,720.4812845,94.0048039,2021-02-15T19:52:35.039074
100,500,8192,adam,mape,720.4592502,99.38613772,2021-02-15T19:53:05.469337
100,1000,512,adam,mape,720.5067661,92.5316155,2021-02-15T19:55:14.516895
100,1000,1024,adam,mape,720.5063974,92.49497056,2021-02-15T19:56:55.539874
100,1000,2048,adam,mape,720.5050746,92.54470468,2021-02-15T19:58:21.128975
100,1000,4096,adam,mape,720.5010843,93.09292436,2021-02-15T19:59:39.610446
100,1000,8192,adam,mape,720.4944483,94.53312755,2021-02-15T20:00:55.561206
1000,200,512,adam,mape,720.5068312,92.54139066,2021-02-15T20:06:20.890393
1000,200,1024,adam,mape,720.5068312,92.54139066,2021-02-15T20:09:41.499122
1000,200,2048,adam,mape,720.5063541,92.53667593,2021-02-15T20:11:57.279459
1000,200,4096,adam,mape,720.498135,92.44292378,2021-02-15T20:13:43.801102
1000,200,8192,adam,mape,720.470506,92.10373759,2021-02-15T20:15:17.107153
1000,500,512,adam,mape,720.5068312,92.54139066,2021-02-15T20:24:06.434865
1000,500,1024,adam,mape,720.5068312,92.54139066,2021-02-15T20:30:20.190109
1000,500,2048,adam,mape,720.5067661,92.54076481,2021-02-15T20:35:14.491534
1000,500,4096,adam,mape,720.5064408,92.53154397,2021-02-15T20:39:24.369845
1000,500,8192,adam,mape,720.5055083,92.49429703,2021-02-15T20:43:13.050050
