FILENAME,SEC_CHECKBOX,SEC_SUBJECT,CHECKBOX,TEXT_BOX_PAIR,MARK,HANDWRITTEN,SIGNATURE
D:/PareIT/Combined\005. SCOI 03-26-16 to 03-03-17.pdf\21-21,2,2,56,56,,,1
D:/PareIT/Combined\005. SCOI 04-17-18 to 03-13-19.pdf\24-24,14,13,104,86,,2,
D:/PareIT/Combined\005. SCOI 04-17-18 to 03-13-19.pdf\25-25,13,13,124,124,,6,1
D:/PareIT/Combined\01 R 360 Wellness Grp 2016-11-30 to 2017-06-28.pdf\11-17,23,23,,,60,99,35
D:/PareIT/Combined\01 R 360 Wellness Grp 2016-11-30 to 2017-06-28.pdf\18-22,73,73,168,166,76,46,10
D:/PareIT/Combined\01-12-17 to 08-09-18 CA Back & Pain Specialist (2).pdf\13-13,7,10,76,74,,14,1
D:/PareIT/Combined\01-17-17 Radiology Report.pdf\1-1,2,2,125,125,,,
D:/PareIT/Combined\01.25.19.pdf\1-1,10,10,73,71,,19,1
D:/PareIT/Combined\01.25.19.pdf\2-2,9,9,,,16,5,
D:/PareIT/Combined\010. The Spine and Orthopedic Center.pdf\18-22,,,4,2,23,24,
D:/PareIT/Combined\010. The Spine and Orthopedic Center.pdf\23-27,21,21,7,7,19,10,
D:/PareIT/Combined\02 R Bruce Householder DC (1-13-17 to 12-19-17).pdf\12-15,23,15,304,72,57,94,19
D:/PareIT/Combined\02 R Bruce Householder DC (1-13-17 to 12-19-17).pdf\2-11,75,62,597,82,175,241,23
D:/PareIT/Combined\02 R Corona Regional Medical Center.pdf\19-19,4,4,18,10,,10,
D:/PareIT/Combined\02 R Corona Regional Medical Center.pdf\20-21,2,2,6,6,,27,1
D:/PareIT/Combined\02 R UCLA Medical Center 2010 charts.pdf\29-30,4,4,24,24,,18,3
D:/PareIT/Combined\02 R UCLA Medical Center 2010 charts.pdf\34-34,2,2,29,29,2,14,1
D:/PareIT/Combined\02 R UCLA Medical Center 2010 charts.pdf\36-36,3,3,29,29,5,13,1
D:/PareIT/Combined\02 R UCLA Medical Center 2010 charts.pdf\46-46,7,7,47,47,1,6,1
D:/PareIT/Combined\02 R UCLA Medical Center 2010 charts.pdf\51-51,8,8,40,40,,21,1
