FILENAME,SUBTITLE,CONTENT,FORM,TABLE,REP_HEADER_FOOTER,HEADER_FOOTER,TITLE,QUESTIONNAIRE,OTHER
D:/PareIT/Combined\(1) Los Angeles Fire Department.pdf\1-3,4,15,8,5,3,5,14,,2
D:/PareIT/Combined\(12) Dr. Sean Leoni.pdf\1-4,12,27,4,,3,4,14,,1
D:/PareIT/Combined\(8) Dr. Kasra Rowshan.pdf\1-3,11,33,5,,6,4,17,,1
D:/PareIT/Combined\(STEPHANIE) D SHEHADEH NP REC (DOS 6.11.16).pdf\2-3,14,14,3,,4,3,5,,
D:/PareIT/Combined\(STEPHANIE) S RUBIN MD REC (DOS 3.23.17).pdf\1-5,4,16,4,4,4,5,6,,1
D:/PareIT/Combined\000. Henry Mayo Newhall Memorial Hospial.pdf\17-17,15,22,2,,,3,3,,1
D:/PareIT/Combined\000. Henry Mayo Newhall Memorial Hospial.pdf\3-11,13,24,18,23,6,6,11,,
D:/PareIT/Combined\000. Henry Mayo Newhall Memorial Hospial.pdf\63-67,37,41,9,2,9,6,11,,
D:/PareIT/Combined\000008 - 000123 Medical and Billing Records.pdf\1-3,8,10,13,3,3,4,14,,4
D:/PareIT/Combined\000008 - 000123 Medical and Billing Records.pdf\21-22,8,18,5,,,3,9,2,
D:/PareIT/Combined\000008 - 000123 Medical and Billing Records.pdf\34-36,5,19,5,,3,6,6,,1
D:/PareIT/Combined\000008 - 000123 Medical and Billing Records.pdf\43-46,34,49,11,,4,4,17,,
D:/PareIT/Combined\000008 - 000123 Medical and Billing Records.pdf\47-50,1,18,13,5,,7,,,2
D:/PareIT/Combined\000008 - 000123 Medical and Billing Records.pdf\63-65,25,19,10,7,2,7,17,,1
D:/PareIT/Combined\001. Delano Acupuncture & Chiropractic FULL.pdf\1-2,15,16,4,,2,3,4,,1
D:/PareIT/Combined\001. Delano Acupuncture & Chiropractic FULL.pdf\11-12,16,16,3,,2,3,4,,1
D:/PareIT/Combined\001. Delano Acupuncture & Chiropractic FULL.pdf\13-13,16,17,2,,,3,4,,1
D:/PareIT/Combined\001. Delano Acupuncture & Chiropractic FULL.pdf\18-18,16,17,2,,,3,4,,1
D:/PareIT/Combined\001. Delano Acupuncture & Chiropractic FULL.pdf\19-19,16,17,2,,,3,4,,1
D:/PareIT/Combined\001. Delano Acupuncture & Chiropractic FULL.pdf\22-23,17,18,3,,2,3,4,,1
D:/PareIT/Combined\001. Delano Acupuncture & Chiropractic FULL.pdf\26-27,17,17,3,,2,3,4,,1
D:/PareIT/Combined\001. Delano Acupuncture & Chiropractic FULL.pdf\28-29,16,17,4,,2,3,4,,1
D:/PareIT/Combined\001. Delano Acupuncture & Chiropractic FULL.pdf\32-33,17,17,3,,2,3,4,,1
D:/PareIT/Combined\001. Delano Acupuncture & Chiropractic FULL.pdf\34-35,17,17,3,,2,3,4,,1
D:/PareIT/Combined\001. Delano Acupuncture & Chiropractic FULL.pdf\36-37,17,17,3,,2,3,4,,1
D:/PareIT/Combined\001. Delano Acupuncture & Chiropractic FULL.pdf\44-45,16,16,3,,2,3,4,,1
D:/PareIT/Combined\001. Delano Acupuncture & Chiropractic FULL.pdf\46-47,16,16,3,,2,3,4,,1
D:/PareIT/Combined\001. Delano Acupuncture & Chiropractic FULL.pdf\50-51,15,19,4,,2,2,4,,2
D:/PareIT/Combined\001. Delano Acupuncture & Chiropractic FULL.pdf\52-53,16,16,3,,2,3,4,,1
D:/PareIT/Combined\001. Delano Acupuncture & Chiropractic FULL.pdf\54-55,15,16,4,,2,3,4,,1
D:/PareIT/Combined\001. Delano Acupuncture & Chiropractic FULL.pdf\56-57,16,17,3,,2,3,4,,1
D:/PareIT/Combined\001. Delano Acupuncture & Chiropractic FULL.pdf\62-63,16,17,3,,2,3,4,,1
D:/PareIT/Combined\001. Delano Acupuncture & Chiropractic FULL.pdf\64-65,16,16,3,,2,3,4,,1
D:/PareIT/Combined\001. Delano Acupuncture & Chiropractic FULL.pdf\67-68,16,17,3,,2,3,4,,1
D:/PareIT/Combined\001. Delano Acupuncture & Chiropractic FULL.pdf\69-70,17,17,3,,2,3,4,,1
D:/PareIT/Combined\001. Delano Acupuncture & Chiropractic FULL.pdf\7-10,5,21,6,,3,4,12,,1
D:/PareIT/Combined\001. Delano Acupuncture & Chiropractic FULL.pdf\71-72,17,17,4,,2,3,4,,1
D:/PareIT/Combined\001. Henry Mayo Newhall Memorial Hospial -OCR.pdf\26-55,86,205,77,2,30,31,210,,
D:/PareIT/Combined\001. Henry Mayo Newhall Memorial Hospial -OCR.pdf\3-8,5,19,14,25,6,6,12,,
D:/PareIT/Combined\001. Henry Mayo Newhall Memorial Hospial -OCR.pdf\56-61,41,59,9,5,12,6,11,,
D:/PareIT/Combined\001. Henry Mayo Newhall Memorial Hospial -OCR.pdf\63-67,14,19,14,1,9,6,9,,
D:/PareIT/Combined\001. Henry Mayo Newhall Memorial Hospial -OCR.pdf\9-11,3,13,7,2,7,5,7,,
D:/PareIT/Combined\002 - Valley Presb Hosp (ED) - Atkinson.pdf\3-4,,14,5,,4,2,13,,
D:/PareIT/Combined\003 - UCLA (Primary Care Physician) - Atkinson.pdf\16-17,17,26,6,2,4,2,4,,
